34870;Drumming Fingers
23595;Zooming Out With Two Fingers
136859;Thumb Up
68574;Swiping Right
119263;Zooming In With Two Fingers
60572;Stop Sign
6522;Swiping Down
20706;No gesture
42237;Thumb Down
63763;Zooming Out With Two Fingers
100344;Shaking Hand
82219;Zooming Out With Two Fingers
94060;Thumb Down
39493;No gesture
118250;Swiping Down
75236;Drumming Fingers
47266;Zooming In With Two Fingers
62818;Swiping Left
14506;Stop Sign
29589;Thumb Down
1338;Swiping Right
10179;Swiping Left
28883;No gesture
53863;Swiping Down
43754;Zooming In With Two Fingers
132960;Drumming Fingers
136366;Thumb Down
5119;Zooming In With Two Fingers
107175;Shaking Hand
37219;Stop Sign
117892;Swiping Down
96509;Drumming Fingers
49506;Stop Sign
64989;Zooming Out With Two Fingers
40869;Thumb Down
12133;No gesture
123985;No gesture
2720;Thumb Up
112513;Thumb Down
129472;Zooming Out With Two Fingers
40836;Swiping Down
63541;Stop Sign
102678;No gesture
71550;Thumb Down
118215;Thumb Down
64120;Shaking Hand
10504;No gesture
104639;Swiping Left
85923;Swiping Up
127712;Thumb Up
79314;Swiping Down
50483;Thumb Down
22613;Thumb Up
59386;Shaking Hand
111296;Swiping Up
18056;Swiping Up
35807;Drumming Fingers
46260;Swiping Up
114674;No gesture
52944;Zooming Out With Two Fingers
114827;No gesture
87642;Swiping Up
51861;Zooming In With Two Fingers
133108;Shaking Hand
74438;Swiping Up
108964;Thumb Up
82864;Zooming In With Two Fingers
105791;Swiping Left
38482;Swiping Left
78394;Swiping Right
111880;Swiping Left
54545;Drumming Fingers
88051;No gesture
51084;No gesture
85276;Stop Sign
16841;Shaking Hand
98736;Drumming Fingers
105163;Shaking Hand
147456;Swiping Left
61910;Zooming In With Two Fingers
21234;Zooming Out With Two Fingers
93110;Thumb Up
110993;Drumming Fingers
58302;Drumming Fingers
6022;No gesture
23903;No gesture
14161;Shaking Hand
122765;Swiping Up
83147;Zooming Out With Two Fingers
136771;Thumb Up
142912;Zooming Out With Two Fingers
75238;Swiping Left
33220;No gesture
39319;Swiping Left
136822;Swiping Down
52906;Swiping Right
12696;Swiping Down
55998;Zooming In With Two Fingers
64810;Shaking Hand
51477;Drumming Fingers
113147;Swiping Left
84841;Zooming In With Two Fingers
84384;Stop Sign
26719;Shaking Hand
11748;Stop Sign
52825;Thumb Up
84237;No gesture
116729;Zooming Out With Two Fingers
54856;Swiping Up
56683;No gesture
140123;Zooming In With Two Fingers
8466;No gesture
67863;Thumb Up
133657;Drumming Fingers
110800;Swiping Down
45915;Zooming Out With Two Fingers
134801;No gesture
94725;No gesture
55450;Zooming Out With Two Fingers
53151;Thumb Up
63596;Shaking Hand
111679;Swiping Right
66147;Thumb Up
68933;Stop Sign
24918;Thumb Down
59226;Zooming In With Two Fingers
135294;Swiping Right
97230;Thumb Down
16198;Swiping Right
136270;Drumming Fingers
103305;Swiping Right
98918;Drumming Fingers
32596;Thumb Down
101807;Stop Sign
145771;Swiping Right
86146;Thumb Down
22459;Thumb Up
110056;Zooming In With Two Fingers
144993;No gesture
57662;Swiping Up
3050;Zooming In With Two Fingers
60958;Zooming Out With Two Fingers
17752;Thumb Down
112490;Zooming In With Two Fingers
3578;Swiping Up
30433;Zooming Out With Two Fingers
22724;No gesture
113830;Thumb Down
36544;Zooming Out With Two Fingers
100498;Zooming In With Two Fingers
130343;Zooming In With Two Fingers
60762;Thumb Down
57801;Shaking Hand
48306;Thumb Up
102451;Thumb Up
36169;Thumb Up
15429;Swiping Left
25315;Zooming In With Two Fingers
18931;Thumb Up
22184;Thumb Down
42054;Swiping Down
89831;Zooming In With Two Fingers
112036;Thumb Down
32754;Swiping Down
12877;Swiping Up
47086;Thumb Up
132650;Thumb Up
44405;Zooming Out With Two Fingers
124258;Drumming Fingers
44711;Shaking Hand
34811;Drumming Fingers
2340;Stop Sign
41841;Swiping Down
121718;Thumb Down
95871;Stop Sign
134856;Shaking Hand
102412;Drumming Fingers
75466;Stop Sign
15248;Drumming Fingers
89031;Zooming In With Two Fingers
97683;Swiping Up
25100;Thumb Up
3452;Swiping Left
20894;Shaking Hand
127843;Swiping Down
49469;Swiping Up
21598;Swiping Up
109777;Zooming Out With Two Fingers
130832;Zooming In With Two Fingers
125940;Thumb Up
876;Stop Sign
47572;No gesture
2912;Zooming Out With Two Fingers
95740;Shaking Hand
63130;Thumb Down
78641;Drumming Fingers
121154;Swiping Down
7785;Shaking Hand
33366;Thumb Down
96410;Shaking Hand
130848;No gesture
10185;Thumb Up
147247;Zooming In With Two Fingers
73495;Swiping Left
25505;Swiping Up
25977;Drumming Fingers
139405;Stop Sign
86811;Zooming Out With Two Fingers
8671;Swiping Up
91312;Swiping Down
14299;No gesture
17617;Zooming In With Two Fingers
65499;Swiping Left
131313;Swiping Right
114470;Swiping Down
77631;Stop Sign
7170;Thumb Down
80148;Swiping Right
37053;Shaking Hand
47344;Thumb Up
7050;Zooming Out With Two Fingers
10598;Drumming Fingers
117454;No gesture
146793;Swiping Left
70911;Stop Sign
64275;Swiping Up
87425;Drumming Fingers
51882;Swiping Left
81824;No gesture
97762;Thumb Down
84426;Swiping Down
26362;Zooming In With Two Fingers
41450;Stop Sign
131026;Shaking Hand
108586;Zooming Out With Two Fingers
26281;Drumming Fingers
112475;Thumb Up
124251;Drumming Fingers
35445;Zooming In With Two Fingers
64346;Zooming In With Two Fingers
84764;Swiping Right
123598;Zooming Out With Two Fingers
1393;No gesture
139553;Zooming In With Two Fingers
40388;Swiping Left
126086;Thumb Down
20963;Zooming Out With Two Fingers
31738;Swiping Right
81599;Shaking Hand
99763;Drumming Fingers
47219;Zooming In With Two Fingers
128353;Thumb Up
16367;Zooming In With Two Fingers
96542;Thumb Down
27945;Swiping Right
114317;Drumming Fingers
18229;Thumb Down
114126;Stop Sign
19105;Thumb Up
105716;Swiping Down
91465;Swiping Right
116498;Swiping Left
80302;Zooming Out With Two Fingers
94634;Stop Sign
82435;Thumb Up
39817;Swiping Up
96853;Drumming Fingers
145167;Drumming Fingers
29430;Zooming Out With Two Fingers
60055;Shaking Hand
136169;Swiping Down
95389;Drumming Fingers
20597;Swiping Right
37976;Zooming In With Two Fingers
112499;Thumb Up
143053;Thumb Up
20768;No gesture
46542;Zooming Out With Two Fingers
50265;Swiping Right
25820;Thumb Down
27049;Shaking Hand
95462;Thumb Up
12937;Swiping Up
2149;Shaking Hand
81651;Swiping Left
87883;Drumming Fingers
56376;Stop Sign
5684;Swiping Down
143729;Swiping Left
57259;Swiping Up
98114;Shaking Hand
128004;No gesture
10773;Shaking Hand
40717;Stop Sign
119948;Swiping Left
105451;Thumb Down
57946;Stop Sign
65988;Drumming Fingers
111293;Thumb Down
69894;Swiping Right
10082;Swiping Up
108595;Thumb Up
67530;Stop Sign
63180;Drumming Fingers
97888;Zooming Out With Two Fingers
74775;No gesture
41944;Zooming Out With Two Fingers
93303;Swiping Left
145406;Zooming Out With Two Fingers
106490;Thumb Up
2413;Shaking Hand
91524;Stop Sign
92666;Shaking Hand
72465;Swiping Right
62813;Zooming In With Two Fingers
128609;Swiping Up
126435;Zooming Out With Two Fingers
26042;Zooming Out With Two Fingers
122157;Swiping Down
58382;Swiping Right
61068;Thumb Up
112539;No gesture
141002;Thumb Up
2161;Swiping Up
140156;Drumming Fingers
38811;Swiping Down
145958;Zooming In With Two Fingers
104774;No gesture
39229;Swiping Down
18901;Shaking Hand
80494;No gesture
132368;Swiping Up
94413;Zooming Out With Two Fingers
119600;Zooming In With Two Fingers
84618;Swiping Up
110469;Swiping Left
32730;Zooming In With Two Fingers
66114;Zooming Out With Two Fingers
138437;Swiping Down
144583;Swiping Left
13359;Thumb Up
5818;Stop Sign
55315;No gesture
33828;Zooming In With Two Fingers
56602;Shaking Hand
120782;Stop Sign
114451;No gesture
38949;Swiping Right
34529;Thumb Down
63036;Swiping Left
49399;No gesture
129938;Drumming Fingers
70722;Swiping Down
76795;Swiping Down
142561;Thumb Up
25144;No gesture
143158;Swiping Left
80103;Thumb Up
70759;Zooming In With Two Fingers
57464;Zooming Out With Two Fingers
90624;Shaking Hand
137582;Swiping Right
114335;Zooming Out With Two Fingers
33658;No gesture
53108;Swiping Left
19982;Drumming Fingers
27593;Swiping Right
106386;Drumming Fingers
2923;No gesture
4093;Swiping Up
146317;Swiping Right
67115;Stop Sign
98292;Drumming Fingers
14674;Swiping Right
71146;Swiping Up
91086;Swiping Left
10419;Drumming Fingers
1657;Stop Sign
101522;Shaking Hand
100596;Drumming Fingers
136046;Swiping Up
72030;Shaking Hand
67303;Stop Sign
